index,entry,combineScore,trueLabel
3.0,<entry1>  WrCa - GAYLE - abcdedfu - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,0.9299999999999999,1.0
7.0,<entry1>  WrCa - GAYLE - abcdedfu [FB] - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,0.9299999999999999,1.0
10.0,<entry1>  WrCa - GAYLE - abcdedfu [IG/ IGS] - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,0.9299999999999999,1.0
12.0,<entry1>  WrCa - GAYLE - abcdedfu - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,0.9299999999999999,1.0
14.0,<entry1>  Atln - Ckay - Love Nwantiti (North African Remix) [Music Video] - P1 - R - 0062L00000WCfDAQA1 [United States]  <entry2> <artistName>  CKay  <trackName>  love nwantiti (feat. ElGrande Toto) [North African Remix],0.96,1.0
37.0,<entry1>  [SC] Bushido - Bushido - ALB - Nov 2021  <entry2> <artistName>  210  <trackName>  Bush,0.9,0.0
69.0,<entry1>  Neil Young Barn Album_Crazy Horse Heading West_Youtube_InStream Ad_awareness  <entry2> <artistName>  ORS  <trackName>  Headin' West,0.96,0.0
70.0,<entry1>  Neil Young Barn Album_Crazy Horse Heading West_Youtube_InStream Ad_awareness  <entry2> <artistName>  C WEST  <trackName>  West,0.915,0.0
73.0,<entry1>  Neil Young Barn Album_Crazy Horse Heading West_Youtube_InStream Ad_awareness  <entry2> <artistName>  Neil Young  <trackName>  Hoser Editing,0.885,0.0
75.0,<entry1>  Neil Young Barn Album_Crazy Horse Heading West_Youtube_InStream Ad_awareness  <entry2> <artistName>  ORS  <trackName>  Stay,0.875,0.0
76.0,<entry1>  Neil Young Barn Album_Crazy Horse Heading West_Youtube_InStream Ad_awareness  <entry2> <artistName>  ORS  <trackName>  Doin Me,0.855,0.0
77.0,<entry1>  N006380 - Multiplica - Mujeres y Petas  <entry2> <artistName>  LINA  <trackName>  LI,0.875,0.0
107.0,<entry1>  YT - Jubël at fotografiska - BOOST  <entry2> <artistName>  RA  <trackName>  Bolo,0.875,0.0
118.0,<entry1>  Oma geht Steil x Mastodon - Pushing the Tides_Youtube_Discovery Ad_awareness  <entry2> <artistName>  Mastodon  <trackName>  The Bit,0.855,0.0
127.0,<entry1>  2021 Biffy Clyro - TMOTHEA GDN  <entry2> <artistName>  Biffy Clyro  <trackName>  The Fog,0.855,0.0
167.0,"<entry1>  2021 Ed Sheeran - """"="""" Release  <entry2> <artistName>  Ed Sheeran  <trackName>  Eraser",0.865,0.0
217.0,<entry1>  PL Noel - Boost du 11/11 - 1k€ - 091121 - Trafic  <entry2> <artistName>  RA  <trackName>  Bolo,0.875,0.0
238.0,<entry1>  Benson Boone - Ghost Town - SW  <entry2> <artistName>  EBEN  <trackName>  Ghost Town,0.875,0.0
267.0,<entry1>  Oliver Tree Final Phase  <entry2> <artistName>  LINA  <trackName>  LI,0.875,0.0
277.0,"<entry1>  Casper The Ghost x Jutes - BAD - Boost CTG  <entry2> <artistName>  Casper The Ghost, Jutes  <trackName>  BAD",0.9550000000000001,1.0
337.0,<entry1>  PREECOUTE DEEZER X NINHO 7.5K€ Reach  <entry2> <artistName>  Ninho  <trackName>  Aïcha,0.875,0.0
378.0,<entry1>  Ed Sheeran Overpass Graffiti  <entry2> <artistName>  Ed Sheeran  <trackName>  Overpass Graffiti (Alle Farben Remix),0.985,1.0
379.0,<entry1>  Ed Sheeran Overpass Graffiti  <entry2> <artistName>  Ed Sheeran  <trackName>  Overpass Graffiti (Alle Farben Extended Remix),0.985,1.0
380.0,<entry1>  Ed Sheeran Overpass Graffiti  <entry2> <artistName>  Ed Sheeran  <trackName>  Overpass Graffiti (TCTS Extended Remix),0.985,1.0
381.0,<entry1>  Ed Sheeran Overpass Graffiti  <entry2> <artistName>  Ed Sheeran  <trackName>  Overpass Graffiti (TCTS Remix),0.985,1.0
408.0,<entry1>  [Indonesia] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  RA  <trackName>  Hong,0.875,0.0
409.0,<entry1>  [Indonesia] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Sia  <trackName>  Kate,0.875,0.0
410.0,<entry1>  [Indonesia] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  RA  <trackName>  Arrival,0.855,0.0
416.0,<entry1>  [Indonesia] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Sia  <trackName>  Dunes,0.9,0.0
418.0,<entry1>  [Thailand] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  RA  <trackName>  Hong,0.875,0.0
419.0,<entry1>  [Thailand] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  RA  <trackName>  Arrival,0.855,0.0
428.0,<entry1>  [Philippines] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  RA  <trackName>  Hong,0.875,0.0
429.0,<entry1>  [Philippines] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  RA  <trackName>  Arrival,0.855,0.0
438.0,<entry1>  [Malaysia] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Mala  <trackName>  Tribal,0.915,0.0
439.0,<entry1>  [Malaysia] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Sia  <trackName>  Kate,0.875,0.0
440.0,<entry1>  [Malaysia] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  RA  <trackName>  Hong,0.875,0.0
441.0,<entry1>  [Malaysia] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  RA  <trackName>  Arrival,0.855,0.0
527.0,<entry1>  Atln - flowerkid - everyone has a breaking point EP - P1 - R - 0062L00000WCkECQA1 [FB/IG][USA]  <entry2> <artistName>  TFlow  <trackName>  USA,0.9,0.0
528.0,<entry1>  Atln - flowerkid - everyone has a breaking point EP - P1 - R - 0062L00000WCkECQA1 [FB/IG][USA]  <entry2> <artistName>  Low  <trackName>  Done,0.875,0.0
529.0,<entry1>  Atln - flowerkid - everyone has a breaking point EP - P1 - R - 0062L00000WCkECQA1 [FB/IG][USA]  <entry2> <artistName>  Low  <trackName>  Step,0.875,0.0
530.0,<entry1>  Atln - flowerkid - everyone has a breaking point EP - P1 - R - 0062L00000WCkECQA1 [FB/IG][USA]  <entry2> <artistName>  Low  <trackName>  Breaker,0.855,0.0
538.0,<entry1>  Atln - flowerkid - everyone has a breaking point EP - P1 - R - 0062L00000WCkECQA1 [IG Reels/IG Stories][USA]  <entry2> <artistName>  Low  <trackName>  Lies,0.875,0.0
539.0,<entry1>  Atln - flowerkid - everyone has a breaking point EP - P1 - R - 0062L00000WCkECQA1 [IG Reels/IG Stories][USA]  <entry2> <artistName>  Low  <trackName>  Done,0.875,0.0
541.0,<entry1>  Atln - flowerkid - everyone has a breaking point EP - P1 - R - 0062L00000WCkECQA1 [IG Reels/IG Stories][USA]  <entry2> <artistName>  Low  <trackName>  Breaker,0.855,0.0
557.0,<entry1>  ADA - Anderson .Paak - Bubblin [Silk Sonic Spend] - P1 - R - 0062L00000WCfV9QAL [United States]  <entry2> <artistName>  Anderson .Paak  <trackName>  Bubblin',0.94,1.0
567.0,<entry1>  CA / Black Friday Merch / 2617 / PO67889  <entry2> <artistName>  Ay Em  <trackName>  LA,0.9,0.0
637.0,<entry1>  [INTL] HONNE DRAWING WITH  <entry2> <artistName>  RA  <trackName>  Hong,0.875,0.0
667.0,<entry1>  Silk Sonic Smokin Out The Window  <entry2> <artistName>  SIL  <trackName>  Windows,0.96,0.0
668.0,<entry1>  Silk Sonic Smokin Out The Window  <entry2> <artistName>  Sil  <trackName>  Windows,0.96,0.0
679.0,<entry1>  Warner Music Canada: Charmaine - Bad Mentality (Canada)  <entry2> <artistName>  War  <trackName>  The MUSIC BAND,0.855,0.0
680.0,<entry1>  Warner Music Canada: Charmaine - Bad Mentality (Canada)  <entry2> <artistName>  WAR  <trackName>  The MUSIC BAND,0.855,0.0
748.0,<entry1>  Robert Plant Alison Krauss Raise Album Pre Order_Facebook_Promoted Post_awareness  <entry2> <artistName>  RA  <trackName>  Bolo,0.875,0.0
757.0,"<entry1>  ANI - Tyttö sä oot tähti - teaser -  IGS  <entry2> <artistName>  ANI  <trackName>  Tyttö, sä oot tähti",0.975,1.0
777.0,<entry1>  Avril Lavine - Bite Me -WMB  <entry2> <artistName>  Avril Lavigne  <trackName>  Bite Me,0.96,1.0
817.0,<entry1>  LIVE: Ilta - Joulukiertue (Savonlinna)  <entry2> <artistName>  INNA  <trackName>  July,0.875,0.0
818.0,<entry1>  LIVE: Ilta - Joulukiertue (Savonlinna)  <entry2> <artistName>  INNA  <trackName>  Love,0.875,0.0
819.0,<entry1>  LIVE: Ilta - Joulukiertue (Savonlinna)  <entry2> <artistName>  Inna  <trackName>  July,0.875,0.0
820.0,<entry1>  LIVE: Ilta - Joulukiertue (Savonlinna)  <entry2> <artistName>  LINA  <trackName>  LIN,0.875,0.0
821.0,<entry1>  LIVE: Ilta - Joulukiertue (Savonlinna)  <entry2> <artistName>  LINA  <trackName>  LI,0.875,0.0
822.0,<entry1>  LIVE: Ilta - Joulukiertue (Savonlinna)  <entry2> <artistName>  Inna  <trackName>  Love,0.875,0.0
837.0,<entry1>  LIVE: Erin - 10 vuotta hunningolla (Helsinki)  <entry2> <artistName>  Ninho  <trackName>  NI,0.9,0.0
917.0,<entry1>  2556 | WMA ADS | MA | FLEETWOOD MAC | PODCAST AD | TBC__Video views  <entry2> <artistName>  Fleetwood Mac  <trackName>  I Do,0.875,0.0
947.0,<entry1>  2612 | WMA ADS | MA | SIA | CHRISTMAS | P067943__Video views  <entry2> <artistName>  Chic  <trackName>  26,0.875,0.0
957.0,<entry1>  Tiesto - The Motto - Drive Traffic To Website  <entry2> <artistName>  Tiësto  <trackName>  Traffic,0.915,0.0
967.0,<entry1>  Bbenson Boone - Drive Traffic To Website  <entry2> <artistName>  RA  <trackName>  Bolo,0.875,0.0
984.0,<entry1>  2614 | WMA ads | HW | The Walters | I Love You So | P067968  <entry2> <artistName>  The Dualers  <trackName>  7,0.9099999999999999,0.0
