index,entry,combineScore,trueLabel
3.0,<entry1>  WrCa - GAYLE - abcdedfu - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,0.9299999999999999,1.0
7.0,<entry1>  WrCa - GAYLE - abcdedfu [FB] - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,0.9299999999999999,1.0
10.0,<entry1>  WrCa - GAYLE - abcdedfu [IG/ IGS] - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,0.9299999999999999,1.0
12.0,<entry1>  WrCa - GAYLE - abcdedfu - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,0.9299999999999999,1.0
257.0,<entry1>  Kevinho - Chama Neném [Tráfego] 10.11.21  <entry2> <artistName>  MC Kevinho  <trackName>  Chama Neném,0.85,1.0
951.0,<entry1>  2612 | WMA ADS | MA | SIA | CHRISTMAS | P067943__Video views  <entry2> <artistName>  Sia  <trackName>  Everyday Is Christmas,0.81,1.0
